I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:16:40,    36374,        0,       0,       1,   15123,     425,        0,    8404,        0,       3,       0,       0,     950,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1356,       0,       0
01/03/2017, 00:16:50,     8384,        0,       0,       0,       0,      42,        0,    1876,        0,       0,       0,     100,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:00,   180906,        0,       0,       0,       0,    2122,        0,   24126,        0,       9,       0,       0,      96,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:10,   211936,        0,       0,       0,       0,    1442,        0,   28895,        0,      18,       0,       0,     252,       0,       0,       0,       7,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:20,    84549,        0,       0,       0,       0,     479,        0,   17921,        0,       8,       0,       0,     274,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:30,    45161,        0,       0,       0,       0,     464,        0,    9433,        0,       3,       0,       0,     365,       0,       0,       0,       5,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:40,    78172,        0,       0,       0,       0,     353,        0,   14840,        0,       6,       0,       0,     389,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:17:50,    85455,        0,       0,       0,       0,     346,        0,   11075,        0,       4,       0,       0,     400,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:18:00,   136008,        0,       0,       0,       0,     705,        0,   12777,        0,       5,       0,       0,     416,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1357,       0,       0
01/03/2017, 00:18:10,   190397,        0,       0,       0,       0,    3592,        0,   16920,        0,       4,       0,      51,      75,       0,       0,       2,       4,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:18:20,    85569,        0,       0,       0,       0,    1449,        0,    9593,        0,       2,       0,       0,      88,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:18:30,   122594,        0,       0,       0,       0,    1746,        0,    8187,        0,       1,       0,       0,     177,       0,       0,       0,       3,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:18:40,    51468,        0,       0,       0,       0,     872,        0,    4369,        0,       0,       0,       0,     186,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:18:50,   168470,        0,       0,       0,       0,    1275,        0,    9075,        0,       3,       0,       0,     191,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:19:00,   122116,        0,       0,       0,       0,     611,        0,   22477,        0,       9,       0,       0,     227,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:19:10,   147234,        0,       0,       0,       0,    3357,        0,   30362,        0,      12,       0,       0,     358,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:19:20,    71125,        0,       0,       0,       0,     617,        0,   17601,        0,       7,       0,       0,     417,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1358,       0,       0
01/03/2017, 00:19:30,    34718,        0,       0,       0,       0,     276,        0,    8023,        0,       3,       0,      46,      52,       0,       0,       1,       1,       0,       0,       0,       0,       0,       0,       0,    1359,       0,       0
01/03/2017, 00:19:40,    84170,        0,       0,       0,       0,     822,        0,   16449,        0,       7,       0,       0,      92,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1359,       0,       0
01/03/2017, 00:19:50,    56338,        0,       0,       0,       0,    1620,        0,   12802,        0,       4,       0,       0,     146,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1359,       0,       0
01/03/2017, 00:20:00,    91950,        0,       0,       0,       0,     405,        0,   14267,        0,       7,       0,       0,     175,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1359,       0,       0
01/03/2017, 00:20:10,   279655,        0,       0,       0,       0,  134802,        0,   20452,        0,       3,       0,      21,      72,       0,       0,       1,       3,       0,       0,       0,       0,       0,       0,       0,    1360,       0,       0
